Liste des applicateurs faisceaux ,,,,,,,,,,
Spécification Applicateur,,,,,Spécification du cosse,,Etat,,,
N° Outil,Site,Désignation,N° Serie,Constructeur,Référence cosse,,Statut,Remarque,,
,,,,,Constructeur,TEC ,,,,
E469 + A39,RAI,"Outil sertissage cosses DEUTSH en bande T16 1 à 2,5mm²",,WEIJONG,1060-16-1222,270610660,en service,,,
,,,,,,,,,,
,,,,,1062-16-1222,270610680,,,,
,,,,,,,,,,
E470 + A41,RAI,"Outil sertissage cosses CINCH 0,8-2mm² FEM",,WEIJONG,4250000873,270567043,en service,PB PINCE,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
E468 + A43,RAI,"Outil sertissage cosse 6,35",,WEIJONG,MEC7190766,270607660,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
E471 + A40,RAI,"Outil sertissage cosse CINCH 0,5-0,8mm²",,WEIJONG,4250000872,270567042,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
E472 + A42,RAI,Outil sertissage cosses TYCO AWG 24-30 FEM,,WEIJONG,1735801-1,270621880,hors service,pb lame cuivre,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
E449 + A44,RAI,"Outil sertissage cosses DEUTSCH en bande T16
0,5mm² à 1mm²",,WEIJONG,1062-16-0622,270610160,en service,,,
,,,,,1060-16-0622,270610170,,,,
,,,,,1062-16-0644,270612620,,,,
A45,RAI,"Outil sertissage cosses Mico Fit 0,2-0,5²",L129379,MECAL,43030-0001,270624420,en service,,,
,,,,,,,,,,
,,,,,43031-0001,270624410,,,,
,,,,,,,,,,
A46,RAI,Outil sertissage pour cosse Minifit,L134921,MECAL,"3,5 à 4,2",270600600,en service,,,
,,,,,,,,,,
,,,,,,"
270614470",,,,
,,,,,,,,,,
PP3 / EQUIP 190,RAI,"Outil sertissage BROCHE A.M.P 170376-2 0,12-0,177",9339 L,KRISTEN,170376-2,923908010,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PP3 / EQUIP 450,RAI,"Outil sertissage cosse MINI-FIT 0,25-0,75²",10577 SL,KRISTEN,39-00-0038,270600600,en service,PB ENCLUME,,
,,,,,,,,,,
,,,,,39-00-0040,270614470,,,,
,,,,,,,,,,
PP3 / EQUIP 385,RAI,,10576 SL,KRISTEN,08-50-0105,,en service,,,
,,,,,,,,,,
