,,Etat des Pinces de sertissages,,,,,,,,,,,,,,"Référence : FQ111/00 
Page : 2/2"
Spécification du pince,,,Spécification du cosse,,Spécification de sertissage,,,Service maintenance,,,,,,,,
"Numéro 
Pince",Constructeur,"Référence
more","Référence 
constructeur","Référence 
TEC","Séction en 
MM","
Longueur de 
dénudage
",Valeur de traction, Valeur des essais du maintenance ,,,,,"Date de
Vérification",Affectation,Statut,Remarque
,,,1-929939-1,270612730,0.5,"4,3 à 5",≥ 60,,,,,,,,,manque cosse
,,,1-929939-1,270612730,0.75,"4,3 à 5",≥ 85,,,,,,,,,
,,,1-929939-1,270612730,1,"4,3 à 5",≥ 100,,,,,,,,,
,,,1-965982-1,270616740,0.2,"3,7 à 4,3",≥ 30,,,,,,,,,cosse -50 pieces
,,,1-965982-1,270616740,0.35,"3,7 à 4,3",≥ 50,,,,,,,,,
,,,1-965982-1,270616740,0.5,"3,7 à 4,3",≥ 60,,,,,,,,,
P8,DELPHI,GM12014254,12089188,270600550,0.5,4.5,≥ 75,,,,,,5/6/5025,,,
,,,12089188,270600550,0.75,4.5,≥ 90,,,,,,,,,
,,,12089040,270600460,0.5,4.5,≥ 75,90,85,80,87,90,,,,
,,,12089040,270600460,0.75,4.5,≥ 90,100,115,99,120,100,,,,
,,,12124580,270600560,1,4.5,≥ 120,,,,,,,,,cosse -50 pieces
,,,12124580,270600560,1.5,4.5,≥ 150,,,,,,,,,
,,,12124580,270600560,2,4.5,≥ 200,,,,,,,,,
,,,12124582,270600480,1,4.5,≥ 120,130,140,135,128,133,,,,
,,,12124582,270600480,1.5,4.5,150,160,165,178,173,160,,,,
,,,12124582,270600480,2,4.5,200,170,200,183,180,197,,,,
P9,KNIPEX,97 33 02,MEC7190766,270607660,0.34,4.5,≥ 60,,,,,,5/6/2025,,,
,,,MEC7190766,270607660,0.5,4.5,≥ 95,,,,,,,,,
,,,MEC7190766,270607660,0.6,4.5,≥ 100,,,,,,,,,
,,,MEC7190766,270607660,0.75,4.5,≥ 120,,,,,,,,,
,,,MEC7190766,270607660,1.00,4.5,≥ 140,,,,,,,,,
,,,MEC7190766,270607660,1.50,4.5,≥ 190,,,,,,,,,
,,,9200180000,270608920,2,4.5,≥ 192,250,200,253,248,259,,,,
,,,9200260000,270608940,4,4.5,≥310,,,,,,,,,manque cosse
P11,WEIDMULLER,9040450000,620/5E,M0211065012,0.5,4.5,≥ 60,100,99,85,89,93,5/6/2025,,,
,,,620/5E,M0211065012,0.75,4.5,≥ 85,122,115,135,129,114,,,,
,,,620/5E,M0211065012,1,4.5,≥ 140,130,140,110,99,135,,,,
,,,620/5E,M0211065012,1.5,4.5,≥ 150,156,144,133,188,150,,,,
,,,9200260000,270608940,1.5,4.5,≥ 150,156,144,133,188,150,,,,
,,,9200260000,270608940,2,4.5,≥ 192,120,225,205,247,262,,,,
,,,9200260000,270608940,2.5,4.5,≥ 230,330,312,301,315,322,,,,
,,,9200180000,270608920,4,4.5,≥310,,,,,,,,,manque cosse
P12,weidmuller,904054,,,,,,,,,,,,,,
P13,,,,"Pince sertissage embout cablage 6, 10 et 16mm²",,,,,,,,,5/6/2025,,,verefication visuelle
P14,WEIDMULLER,9011460000,,"Pince sertissage embout cablage 6, 10 et 16mm²",,,,,,,,,5/6/2025,,,verefication visuelle
P15,WEIDMULLER,PZ6/5901146,,"Pince sertissage embout cablage 0,14 à 6mm²",,,,,,,,,5/6/2025,,,verefication visuelle
P16,MOLEX,638118200P,,,,,,,,,,,,,,
P17,MOLEX,63819-0900,39-00-0038,270600600,0.2,"3 à 3,3",≥ 29,,,,,,5/7/2025,,,cosse -50 pieces
,,,39-00-0038,270600600,0.34,"3 à 3,3",≥ 39,,,,,,,,,
,,,39-00-0038,270600600,0.5,"3 à 3,3",≥ 59,70,63,61,78,20,,,,
,,,39-00-0038,270600600,0.75,"3 à 3,3",≥ 88,90,100,89,99,102,,,,
,,,39-00-0040,270614470,0.2,"3 à 3,3",≥ 29,,,,,,,,,
